Entity,Code,Day,people_fully_vaccinated_per_hundred
California,,2021-03-14,9.67
California,,2021-03-15,10.13
California,,2021-03-16,10.51
California,,2021-03-17,11
California,,2021-03-18,11.43
California,,2021-03-19,11.76
California,,2021-03-20,12.13
California,,2021-03-21,12.61
California,,2021-03-22,12.91
California,,2021-03-23,13.17
California,,2021-03-24,13.51
California,,2021-03-25,13.87
California,,2021-03-26,14.34
California,,2021-03-27,14.76
California,,2021-03-28,15.14
California,,2021-03-29,15.52
California,,2021-03-30,15.76
California,,2021-03-31,16.07
California,,2021-04-01,16.41
California,,2021-04-02,16.8
California,,2021-04-03,17.25
California,,2021-04-04,17.77
California,,2021-04-05,18.14
California,,2021-04-06,18.35
California,,2021-04-07,18.79
California,,2021-04-08,19.23
California,,2021-04-09,19.8
California,,2021-04-10,20.53
Colorado,,2021-01-12,0.63
Colorado,,2021-01-13,0.72
Colorado,,2021-01-15,0.82
Colorado,,2021-01-19,0.87
Colorado,,2021-01-20,0.89
Colorado,,2021-01-21,0.95
Colorado,,2021-01-22,1.08
Colorado,,2021-01-23,1.08
Colorado,,2021-01-24,1.34
Colorado,,2021-01-25,1.4
Colorado,,2021-01-26,1.44
Colorado,,2021-01-27,1.57
Colorado,,2021-01-28,1.71
Colorado,,2021-01-29,1.88
Colorado,,2021-01-30,2.06
Colorado,,2021-01-31,2.17
Colorado,,2021-02-01,2.27
Colorado,,2021-02-02,2.31
Colorado,,2021-02-03,2.44
Colorado,,2021-02-04,2.6
Colorado,,2021-02-05,2.82
Colorado,,2021-02-06,3.11
Colorado,,2021-02-07,3.43
Colorado,,2021-02-08,3.61
Colorado,,2021-02-09,3.67
Colorado,,2021-02-10,3.92
Colorado,,2021-02-11,4.16
Colorado,,2021-02-12,4.41
Colorado,,2021-02-13,4.72
Colorado,,2021-02-14,5.05
Colorado,,2021-02-16,5.37
Colorado,,2021-02-17,5.46
Colorado,,2021-02-18,5.6
Colorado,,2021-02-19,6
Colorado,,2021-02-20,6.26
Colorado,,2021-02-21,6.57
Colorado,,2021-02-22,6.81
Colorado,,2021-02-23,6.83
Colorado,,2021-02-24,7.18
Colorado,,2021-02-25,7.4
Colorado,,2021-02-26,7.63
Colorado,,2021-02-27,7.65
Colorado,,2021-02-28,8.02
Colorado,,2021-03-01,8.33
Colorado,,2021-03-02,8.42
Colorado,,2021-03-03,8.67
Colorado,,2021-03-04,8.91
Colorado,,2021-03-05,9.14
Colorado,,2021-03-06,9.54
Colorado,,2021-03-07,9.86
Colorado,,2021-03-08,9.93
Colorado,,2021-03-09,10.16
Colorado,,2021-03-10,10.58
Colorado,,2021-03-11,11.12
Colorado,,2021-03-12,11.55
Colorado,,2021-03-13,12.07
Colorado,,2021-03-14,12.07
Colorado,,2021-03-15,12.51
Colorado,,2021-03-16,12.65
Colorado,,2021-03-17,12.97
Colorado,,2021-03-18,13.3
Colorado,,2021-03-19,13.6
Colorado,,2021-03-20,14.55
Colorado,,2021-03-21,15.05
Colorado,,2021-03-22,15.25
Colorado,,2021-03-23,15.45
Colorado,,2021-03-24,15.63
Colorado,,2021-03-25,15.85
Colorado,,2021-03-26,16.1
Colorado,,2021-03-27,16.43
Colorado,,2021-03-28,16.79
Colorado,,2021-03-29,16.95
Colorado,,2021-03-30,17.21
Colorado,,2021-03-31,17.51
Colorado,,2021-04-01,17.86
Colorado,,2021-04-02,18.25
Colorado,,2021-04-03,18.78
Colorado,,2021-04-04,19.25
Colorado,,2021-04-05,19.43
Colorado,,2021-04-06,19.65
Colorado,,2021-04-07,20.09
Colorado,,2021-04-08,20.51
Colorado,,2021-04-09,20.97
Colorado,,2021-04-10,21.7
Connecticut,,2021-01-12,0.12
Connecticut,,2021-01-13,0.15
Connecticut,,2021-01-15,0.48
Connecticut,,2021-01-19,0.65
Connecticut,,2021-01-20,0.7
Connecticut,,2021-01-21,0.8
Connecticut,,2021-01-22,0.93
Connecticut,,2021-01-23,1.04
Connecticut,,2021-01-24,1.14
Connecticut,,2021-01-25,1.19
Connecticut,,2021-01-26,1.27
Connecticut,,2021-01-27,1.46
Connecticut,,2021-01-28,1.67
Connecticut,,2021-01-29,1.9
Connecticut,,2021-01-30,2.07
Connecticut,,2021-01-31,2.23
Connecticut,,2021-02-01,2.35
Connecticut,,2021-02-02,2.43
Connecticut,,2021-02-03,2.54
Connecticut,,2021-02-04,2.74
Connecticut,,2021-02-05,2.98
Connecticut,,2021-02-06,3.24
Connecticut,,2021-02-07,3.46
Connecticut,,2021-02-08,3.57
Connecticut,,2021-02-09,3.74
Connecticut,,2021-02-10,4.01
Connecticut,,2021-02-11,4.34
Connecticut,,2021-02-12,4.71
Connecticut,,2021-02-13,5.14
Connecticut,,2021-02-14,5.38
Connecticut,,2021-02-16,5.8
Connecticut,,2021-02-17,6.14
Connecticut,,2021-02-18,6.5
Connecticut,,2021-02-19,7.12
Connecticut,,2021-02-20,7.44
Connecticut,,2021-02-21,7.6
Connecticut,,2021-02-22,7.79
Connecticut,,2021-02-23,7.87
Connecticut,,2021-02-24,7.96
Connecticut,,2021-02-25,8.04
Connecticut,,2021-02-26,8.17
Connecticut,,2021-02-27,8.31
Connecticut,,2021-02-28,8.45
Connecticut,,2021-03-01,8.58
Connecticut,,2021-03-02,8.63
Connecticut,,2021-03-03,8.74
Connecticut,,2021-03-04,8.82
Connecticut,,2021-03-05,8.92
Connecticut,,2021-03-06,9.02
Connecticut,,2021-03-07,9.14
Connecticut,,2021-03-08,9.56
Connecticut,,2021-03-09,9.69
Connecticut,,2021-03-10,9.94
Connecticut,,2021-03-11,10.17
Connecticut,,2021-03-12,10.52
Connecticut,,2021-03-13,13.92
Connecticut,,2021-03-14,13.92
Connecticut,,2021-03-15,14.3
Connecticut,,2021-03-16,14.5
Connecticut,,2021-03-17,14.82
Connecticut,,2021-03-18,15.24
Connecticut,,2021-03-19,15.69
Connecticut,,2021-03-20,16.12
Connecticut,,2021-03-21,16.53
Connecticut,,2021-03-22,16.93
Connecticut,,2021-03-23,17.07
Connecticut,,2021-03-24,17.34
Connecticut,,2021-03-25,17.73
Connecticut,,2021-03-26,18.13
Connecticut,,2021-03-27,18.64
Connecticut,,2021-03-28,19.15
Connecticut,,2021-03-29,19.57
Connecticut,,2021-03-30,20
Connecticut,,2021-03-31,20.35
Connecticut,,2021-04-01,20.86
Connecticut,,2021-04-02,21.47
Connecticut,,2021-04-03,22.3
Connecticut,,2021-04-04,22.91
Connecticut,,2021-04-05,23.55
Connecticut,,2021-04-06,23.65
Connecticut,,2021-04-07,24.19
Connecticut,,2021-04-08,24.9
Connecticut,,2021-04-09,25.8
Connecticut,,2021-04-10,26.48
Delaware,,2021-01-12,0.29
Delaware,,2021-01-13,0.42
Delaware,,2021-01-15,0.55
Delaware,,2021-01-19,0.7
Delaware,,2021-01-20,0.71
Delaware,,2021-01-21,0.76
Delaware,,2021-01-22,0.91
Delaware,,2021-01-23,1.07
Delaware,,2021-01-24,1.18
Delaware,,2021-01-25,1.2
Delaware,,2021-01-26,1.2
Delaware,,2021-01-27,1.27
Delaware,,2021-01-28,1.35
Delaware,,2021-01-29,1.46
Delaware,,2021-01-30,1.54
Delaware,,2021-01-31,1.68
Delaware,,2021-02-01,1.81
Delaware,,2021-02-02,1.85
Delaware,,2021-02-03,1.91
Delaware,,2021-02-04,2.09
Delaware,,2021-02-05,2.18
Delaware,,2021-02-06,2.34
Delaware,,2021-02-07,2.49
Delaware,,2021-02-08,2.59
Delaware,,2021-02-09,2.61
Delaware,,2021-02-10,2.68
Delaware,,2021-02-11,2.76
Delaware,,2021-02-12,2.85
Delaware,,2021-02-13,3.02
Delaware,,2021-02-14,3.19
Delaware,,2021-02-16,3.49
Delaware,,2021-02-17,3.66
Delaware,,2021-02-18,3.85
Delaware,,2021-02-19,4.48
Delaware,,2021-02-20,4.78
Delaware,,2021-02-21,4.81
Delaware,,2021-02-22,4.78
Delaware,,2021-02-23,5.01
Delaware,,2021-02-24,5.26
Delaware,,2021-02-25,5.64
Delaware,,2021-02-26,6.15
Delaware,,2021-02-27,6.75
Delaware,,2021-02-28,7.12
Delaware,,2021-03-01,7.57
Delaware,,2021-03-02,7.58
Delaware,,2021-03-03,8.35
Delaware,,2021-03-04,8.72
Delaware,,2021-03-05,9.18
Delaware,,2021-03-06,9.62
Delaware,,2021-03-07,10.06
Delaware,,2021-03-08,10.33
Delaware,,2021-03-09,10.64
Delaware,,2021-03-10,10.66
Delaware,,2021-03-11,11.11
Delaware,,2021-03-12,11.43
Delaware,,2021-03-13,11.85
Delaware,,2021-03-14,11.87
Delaware,,2021-03-15,12.4
Delaware,,2021-03-16,12.61
Delaware,,2021-03-17,12.79
Delaware,,2021-03-18,12.93
Delaware,,2021-03-19,13.06
Delaware,,2021-03-20,13.29
Delaware,,2021-03-21,13.5
Delaware,,2021-03-22,13.7
Delaware,,2021-03-23,13.72
Delaware,,2021-03-24,13.92
Delaware,,2021-03-25,14.22
Delaware,,2021-03-26,14.58
Delaware,,2021-03-27,15.01
Delaware,,2021-03-28,15.39
Delaware,,2021-03-29,15.7
Delaware,,2021-03-30,15.96
Delaware,,2021-03-31,16.41
Delaware,,2021-04-01,16.8
Delaware,,2021-04-02,17.22
Delaware,,2021-04-03,17.67
Delaware,,2021-04-04,18.08
Delaware,,2021-04-05,18.29
Delaware,,2021-04-06,18.38
Delaware,,2021-04-07,18.87
Delaware,,2021-04-08,19.26
Delaware,,2021-04-09,19.92
Delaware,,2021-04-10,20.64
District of Columbia,,2021-01-13,0.18
District of Columbia,,2021-01-15,1.17
District of Columbia,,2021-01-19,1.44
District of Columbia,,2021-01-20,1.5
District of Columbia,,2021-01-21,1.66
District of Columbia,,2021-01-22,1.71
District of Columbia,,2021-01-23,1.79
District of Columbia,,2021-01-24,1.85
District of Columbia,,2021-01-25,1.88
District of Columbia,,2021-01-26,1.88
District of Columbia,,2021-01-27,2.05
District of Columbia,,2021-01-28,2.15
District of Columbia,,2021-01-29,2.28
District of Columbia,,2021-01-30,2.41
District of Columbia,,2021-01-31,2.65
District of Columbia,,2021-02-01,2.72
District of Columbia,,2021-02-02,2.72
District of Columbia,,2021-02-03,2.8
District of Columbia,,2021-02-04,3.02
District of Columbia,,2021-02-05,3.22
District of Columbia,,2021-02-06,3.41
District of Columbia,,2021-02-07,3.71
District of Columbia,,2021-02-08,3.82
District of Columbia,,2021-02-09,3.82
District of Columbia,,2021-02-10,3.82
District of Columbia,,2021-02-11,4.5
District of Columbia,,2021-02-12,4.7
District of Columbia,,2021-02-13,4.87
District of Columbia,,2021-02-14,5.16
District of Columbia,,2021-02-16,5.53
District of Columbia,,2021-02-17,5.66
District of Columbia,,2021-02-18,5.85
District of Columbia,,2021-02-19,7.11
District of Columbia,,2021-02-20,7.31
District of Columbia,,2021-02-21,7.54
District of Columbia,,2021-02-22,4.41
District of Columbia,,2021-02-23,4.51
District of Columbia,,2021-02-24,4.64
District of Columbia,,2021-02-25,4.79
District of Columbia,,2021-02-26,4.95
District of Columbia,,2021-02-27,5.42
District of Columbia,,2021-02-28,5.68
District of Columbia,,2021-03-01,5.84
District of Columbia,,2021-03-02,5.93
District of Columbia,,2021-03-03,6.07
